순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
28,부산광역시,해운대구,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점,605647
29,경기도,수원시 팔달구,수원역,경기 수원시 팔달구 덕영대로 924-0,기타관광,교통시설,593927
30,부산광역시,강서구,김해국제공항,부산 강서구 공항진입로 108-0,기타관광,교통시설,566549
31,충청남도,아산시,천안아산역,충남 아산시 희망로 100-0,기타관광,교통시설,524752
32,경기도,화성시,SRT동탄역,경기 화성시 동탄역로 지하 151-0,기타관광,교통시설,522253
33,부산광역시,기장군,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑,쇼핑몰,518962
34,대구광역시,동구,동대구역,대구 동구 동대구로 550-0,기타관광,교통시설,514691
35,서울특별시,강서구,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,510171
36,서울특별시,서초구,서울고속버스터미널경부영동선,서울 서초구 신반포로 194-0,기타관광,교통시설,501961
37,대전광역시,유성구,신세계백화점대전신세계,대전 유성구 엑스포로 1-0,쇼핑,백화점,486374
38,대구광역시,동구,신세계백화점대구점,대구 동구 동부로 149-0,쇼핑,백화점,465561
39,경기도,파주시,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑,쇼핑몰,461966
40,경기도,이천시,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑,쇼핑몰,454269
41,울산광역시,울주군,울산역,울산 울주군 울산역로 177-0,기타관광,교통시설,444624
42,서울특별시,송파구,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,442419
43,경기도,용인시 수지구,신세계백화점경기점,경기 용인시 수지구 포은대로 536-0,쇼핑,백화점,426200
44,서울특별시,용산구,용산역,서울 용산구 한강대로23길 55-0,기타관광,교통시설,423768
45,서울특별시,영등포구,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰,421974
46,서울특별시,광진구,동서울종합터미널,서울 광진구 강변역로 50-0,기타관광,교통시설,420941
47,경기도,수원시 영통구,갤러리아백화점광교점,경기 수원시 영통구 광교중앙로 124-0,쇼핑,백화점,419001
48,경기도,용인시 기흥구,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑,쇼핑몰,417375
49,경상남도,김해시,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰,415261
50,경기도,고양시 일산서구,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,문화관광,전시시설,406732
51,서울특별시,중구,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점,401832
52,인천광역시,미추홀구,롯데백화점인천점,인천 미추홀구 연남로 35-0,쇼핑,백화점,395635
53,서울특별시,강남구,현대백화점무역센터점,서울 강남구 테헤란로 517-0,쇼핑,백화점,394539
54,부산광역시,부산진구,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑,백화점,393188
55,서울특별시,양천구,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점,392338
56,부산광역시,강서구,김해공항국내선청사,부산 강서구 공항진입로 108-0,기타관광,교통시설,376896
57,충청북도,청주시 청원구,청주국제공항,충북 청주시 청원구 오창대로 980-0,기타관광,교통시설,373239
58,서울특별시,영등포구,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원,371315
59,서울특별시,동작구,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장,358501
60,서울특별시,송파구,롯데월드잠실점,서울 송파구 올림픽로 240-0,문화관광,테마공원,347508
61,서울특별시,강남구,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점,341681
62,경기도,화성시,롯데백화점동탄점,경기 화성시 동탄역로 160-0,쇼핑,백화점,337049
63,경기도,하남시,스타필드시티위례,경기 하남시 위례대로 200-0,쇼핑,쇼핑몰,331340
64,서울특별시,용산구,HDC아이파크몰,서울 용산구 한강대로23길 55-0,쇼핑,백화점,329850
65,경기도,고양시 일산서구,현대백화점킨텍스점,경기 고양시 일산서구 호수로 817-0,쇼핑,백화점,327666
66,서울특별시,송파구,롯데백화점잠실점,서울 송파구 올림픽로 240-0,쇼핑,백화점,326037
67,경기도,수원시 팔달구,AK플라자수원,경기 수원시 팔달구 덕영대로 924-0,쇼핑,백화점,322957
68,경기도,구리시,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장,321339
69,강원특별자치도,속초시,속초해변,강원 속초시 해오름로 186-0,자연관광,자연경관(하천/해양),318966
70,서울특별시,서초구,예술의전당,서울 서초구 남부순환로 2406-0,문화관광,공연시설,317134
71,경기도,고양시 덕양구,행신역,경기 고양시 덕양구 소원로 102-0,기타관광,교통시설,313366
72,경기도,부천시,스타필드시티부천,경기 부천시 옥길로 1-0,쇼핑,쇼핑몰,313306
73,전북특별자치도,전주시 완산구,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사관광,역사유적지,313046
74,서울특별시,중구,신세계백화점본점,서울 중구 소공로 63-0,쇼핑,백화점,304929
75,경기도,시흥시,오이도빨강등대,경기 시흥시 오이도로 170-0,문화관광,랜드마크관광,301878
76,광주광역시,서구,유스퀘어 광주종합버스터미널,광주 서구 무진대로 904-0,기타관광,교통시설,299085
77,경기도,고양시 일산동구,일산호수공원,경기 고양시 일산동구 호수로 595-0,문화관광,도시공원,293524
78,경기도,고양시 일산서구,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,문화관광,전시시설,293416
79,경기도,수원시 권선구,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰,293287
80,인천광역시,미추홀구,인천종합터미널,인천 미추홀구 연남로 35-0,기타관광,교통시설,291953
81,전라남도,순천시,순천만국가정원,전남 순천시 국가정원1호길 47-0,기타관광,기타관광,291442
82,부산광역시,기장군,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑,쇼핑몰,288843
83,서울특별시,송파구,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑,쇼핑몰,287449
84,경기도,부천시,현대백화점중동점,경기 부천시 길주로 180-0,쇼핑,백화점,284208
85,경기도,의정부시,신세계백화점의정부점,경기 의정부시 평화로 525-0,쇼핑,백화점,274941
86,서울특별시,광진구,어린이대공원,서울 광진구 능동로 216-0,문화관광,테마공원,274166
87,인천광역시,연수구,스퀘어원,인천 연수구 청능대로 210-0,쇼핑,쇼핑몰,273158
88,대전광역시,유성구,현대프리미엄아울렛대전점,대전 유성구 테크노중앙로 123-0,쇼핑,쇼핑몰,272948
89,서울특별시,강서구,김포국제공항국제선,서울 강서구 하늘길 38-0,기타관광,교통시설,263484
90,경기도,용인시 수지구,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑,쇼핑몰,261631
91,경기도,수원시 권선구,롯데백화점수원점,경기 수원시 권선구 세화로 118-0,쇼핑,백화점,258993
92,경기도,수원시 권선구,수원버스터미널,경기 수원시 권선구 경수대로 270-0,기타관광,교통시설,257468
93,서울특별시,용산구,국립중앙박물관,서울 용산구 서빙고로 137-0,문화관광,전시시설,254741
94,충청남도,천안시 동남구,천안종합버스터미널,충남 천안시 동남구 만남로 43-0,기타관광,교통시설,252686
95,경기도,과천시,서울대공원,경기 과천시 대공원광장로 102-0,문화관광,테마공원,250880
96,서울특별시,동대문구,롯데백화점청량리점,서울 동대문구 왕산로 214-0,쇼핑,백화점,250833
97,인천광역시,중구,인천종합어시장,인천 중구 연안부두로33번길 37-0,쇼핑,시장,249086
98,경기도,용인시 기흥구,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사관광,역사유적지,248129
99,경기도,안양시 동안구,롯데백화점평촌점,경기 안양시 동안구 시민대로 180-0,쇼핑,백화점,244732
100,전북특별자치도,익산시,익산역,전북 익산시 익산대로 153-0,기타관광,교통시설,244021
101,서울특별시,노원구,롯데백화점노원점,서울 노원구 동일로 1414-0,쇼핑,백화점,242845
102,대구광역시,중구,더현대대구,대구 중구 달구벌대로 2077-0,쇼핑,백화점,240152
103,강원특별자치도,정선군,강원랜드카지노,강원 정선군 하이원길 265-0,문화관광,기타문화관광지,237914
104,대전광역시,서구,갤러리아백화점타임월드점,대전 서구 대덕대로 211-0,쇼핑,백화점,237008
105,경상북도,경주시,불국사,경북 경주시 불국로 385-0,역사관광,종교성지,236372
106,부산광역시,수영구,광안리해수욕장,부산 수영구 광안해변로 219-0,자연관광,자연경관(하천/해양),235888
107,대전광역시,동구,대전복합터미널서관,대전 동구 동서대로 1689-0,기타관광,교통시설,233500
108,충청북도,청주시 흥덕구,청주시외버스터미널,충북 청주시 흥덕구 풍산로 6-0,기타관광,교통시설,232764
109,충청남도,천안시 동남구,신세계백화점천안아산점,충남 천안시 동남구 만남로 43-0,쇼핑,백화점,231113
110,서울특별시,송파구,올림픽공원,서울 송파구 올림픽로 424-0,문화관광,도시공원,225801
111,인천광역시,중구,월미도,인천 중구,자연관광,자연경관(하천/해양),225578
112,인천광역시,남동구,소래포구종합어시장,인천 남동구 소래역로 12-0,쇼핑,시장,224331
113,충청남도,예산군,예산상설시장,충남 예산군 형제고개로 967-0,쇼핑,시장,224317
114,충청남도,당진시,삽교호관광지,충남 당진시 삽교천3길 100-0,문화관광,복합관광시설,223435
115,서울특별시,은평구,롯데몰은평점,서울 은평구 통일로 1050-0,쇼핑,쇼핑몰,221891
116,인천광역시,남동구,인천대공원,인천 남동구 무네미로 236-0,문화관광,도시공원,221315
117,부산광역시,해운대구,송정해수욕장,부산 해운대구 송정해변로 62-0,자연관광,자연경관(하천/해양),220237
118,경기도,화성시,궁평항,경기 화성시 궁평항로 1049-24,자연관광,자연경관(하천/해양),219553
119,서울특별시,중구,신세계백화점본점신관,서울 중구 퇴계로 77-0,쇼핑,백화점,218035
120,서울특별시,서초구,신세계센트럴시티터미널호남선,서울 서초구 신반포로 176-0,기타관광,교통시설,217794
121,제주특별자치도,제주시,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장,216499
122,부산광역시,해운대구,해운대해수욕장,부산 해운대구 해운대해변로 264-0,자연관광,자연경관(하천/해양),216283
123,부산광역시,중구,롯데백화점광복점,부산 중구 중앙대로 2-0,쇼핑,백화점,211605
124,서울특별시,성동구,서울숲,서울 성동구 뚝섬로 273-0,문화관광,도시공원,210636
125,경기도,수원시 영통구,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,문화관광,도시공원,210113
126,경상북도,포항시 북구,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장,207774
127,대구광역시,동구,대구국제공항,대구 동구 공항로 221-0,기타관광,교통시설,207637
128,부산광역시,기장군,해동용궁사,부산 기장군 용궁길 86-0,역사관광,종교성지,207558
129,서울특별시,중구,현대시티아울렛동대문점,서울 중구 장충단로13길 20-0,쇼핑,쇼핑몰,207343
130,서울특별시,강서구,강서농산물도매시장,서울 강서구 발산로 40-0,쇼핑,시장,207022
131,서울특별시,서대문구,현대백화점신촌점,서울 서대문구 신촌로 83-0,쇼핑,백화점,201653
132,제주특별자치도,서귀포시,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,쇼핑,시장,200756
133,부산광역시,해운대구,벡스코제1전시장,부산 해운대구 APEC로 55-0,문화관광,전시시설,197542
134,부산광역시,사상구,부산서부버스터미널,부산 사상구 사상로 201-0,기타관광,교통시설,194309
135,인천광역시,연수구,송도컨벤시아,인천 연수구 센트럴로 123-0,문화관광,전시시설,194191
136,전북특별자치도,전주시 덕진구,전주역,전북 전주시 덕진구 동부대로 680-0,기타관광,교통시설,193860
137,서울특별시,강서구,NC백화점강서점,서울 강서구 강서로56길 17-0,쇼핑,백화점,192068
138,경상북도,김천시,김천구미역,경북 김천시 혁신1로 51-0,기타관광,교통시설,191080
139,경기도,안양시 동안구,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,쇼핑,시장,187693
140,경기도,성남시 분당구,율동공원,경기 성남시 분당구 문정로 145-0,문화관광,도시공원,186370
141,강원특별자치도,강릉시,강릉중앙시장,강원 강릉시 금성로 21-0,쇼핑,시장,183392
142,강원특별자치도,원주시,원주종합버스터미널,강원 원주시 서원대로 171-0,기타관광,교통시설,182966
143,경기도,부천시,롯데백화점중동점,경기 부천시 길주로 300-0,쇼핑,백화점,182237
144,서울특별시,영등포구,롯데백화점영등포점,서울 영등포구 경인로 846-0,쇼핑,백화점,180199
145,경기도,고양시 일산동구,라페스타,경기 고양시 일산동구 무궁화로 20-11,쇼핑,쇼핑몰,178671
146,경상북도,포항시 북구,포항역,경북 포항시 북구 포항역로 1-0,기타관광,교통시설,178557
147,경기도,광주시,화담숲,경기 광주시 도척윗로 278-1,문화관광,테마공원,177484
148,대구광역시,중구,서문시장,대구 중구 큰장로26길 45-0,쇼핑,시장,175418
149,경기도,파주시,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,기타관광,174402
150,경상남도,통영시,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,쇼핑,시장,174346
151,서울특별시,성북구,현대백화점미아점,서울 성북구 동소문로 315-0,쇼핑,백화점,173472
152,서울특별시,서초구,반포한강공원,서울 서초구 신반포로11길 40-0,문화관광,도시공원,173436
153,서울특별시,서초구,서울남부터미널,서울 서초구 효령로 292-0,기타관광,교통시설,173265
154,경기도,성남시 분당구,AK플라자분당,경기 성남시 분당구 황새울로360번길 42-0,쇼핑,백화점,173097
155,인천광역시,강화군,동막해수욕장,인천 강화군 해안남로 1481-0,자연관광,자연경관(하천/해양),173089
156,인천광역시,연수구,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,문화관광,도시공원,172705
157,부산광역시,금정구,부산종합버스터미널,부산 금정구 중앙대로 2238-0,기타관광,교통시설,171575
158,서울특별시,용산구,CGV용산아이파크몰,서울 용산구 한강대로23길 55-0,문화관광,공연시설,170105
159,서울특별시,마포구,서울월드컵경기장,서울 마포구 월드컵로 240-0,문화관광,레저스포츠시설,169174
160,경상남도,양산시,통도사,경남 양산시 통도사로 108-0,역사관광,종교성지,168329
161,충청남도,보령시,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양),167350
162,부산광역시,동구,부산역,부산 동구 중앙대로 206-0,기타관광,교통시설,166274
163,경기도,용인시 처인구,캐리비안베이,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,165445
164,경상북도,경주시,동궁과월지,경북 경주시 원화로 102-0,역사관광,역사유적지,164443
165,세종특별자치시,세종특별자치시,조치원역,세종시   으뜸길 215-0,기타관광,교통시설,162893
166,강원특별자치도,평창군,휘닉스평창,강원 평창군 태기로 174-0,문화관광,복합관광시설,162844
167,대전광역시,서구,롯데백화점대전점,대전 서구 계룡로 598-0,쇼핑,백화점,162824
168,전라남도,목포시,목포역,전남 목포시 영산로 98-0,기타관광,교통시설,161833
169,서울특별시,용산구,남산서울타워,서울 용산구 남산공원길 105-0,문화관광,랜드마크관광,161769
170,경기도,광명시,롯데몰광명점,경기 광명시 일직로 17-0,쇼핑,쇼핑몰,160674
171,강원특별자치도,강릉시,주문진항,강원 강릉시 해안로 1758-14,자연관광,자연경관(하천/해양),159778
172,경기도,구리시,롯데백화점구리점,경기 구리시 경춘로 261-0,쇼핑,백화점,158986
173,서울특별시,광진구,뚝섬한강공원,서울 광진구 강변북로 2273-0,문화관광,도시공원,158631
174,충청남도,천안시 동남구,독립기념관,충남 천안시 동남구 독립기념관로 1-0,문화관광,전시시설,158372
175,경기도,수원시 영통구,롯데아울렛광교점,경기 수원시 영통구 도청로 10-0,쇼핑,쇼핑몰,158310
176,강원특별자치도,양양군,낙산사,강원 양양군 낙산사로 100-0,역사관광,종교성지,157728
177,경기도,부천시,부천터미널소풍,경기 부천시 송내대로 239-0,기타관광,교통시설,157487
178,서울특별시,종로구,경복궁,서울 종로구 사직로 161-0,역사관광,역사유적지,157078
179,서울특별시,강남구,롯데백화점강남점,서울 강남구 도곡로 401-0,쇼핑,백화점,156695
180,경상북도,경주시,신경주역,경북 경주시 경주역로 80-0,기타관광,교통시설,156053
181,서울특별시,영등포구,신세계백화점타임스퀘어점,서울 영등포구 영중로 9-0,쇼핑,백화점,155386
182,인천광역시,강화군,강화풍물시장,인천 강화군 중앙로 17-9,쇼핑,시장,155064
183,경기도,남양주시,평내호평역,경기 남양주시 경춘로 1375-0,기타관광,교통시설,155037
184,강원특별자치도,홍천군,비발디파크 오션월드,강원 홍천군 한치골길 262-0,문화관광,테마공원,154888
185,광주광역시,서구,신세계백화점광주점,광주 서구 무진대로 932-0,쇼핑,백화점,154332
186,경기도,고양시 일산동구,롯데백화점일산점,경기 고양시 일산동구 중앙로 1283-0,쇼핑,백화점,154322
187,경기도,이천시,이천종합버스터미널,경기 이천시 이섭대천로 1200-0,기타관광,교통시설,153855
188,부산광역시,부산진구,NC백화점서면점,부산 부산진구 동천로 92-0,쇼핑,백화점,153059
189,서울특별시,강서구,서울식물원,서울 강서구 마곡동로 161-0,문화관광,테마공원,152699
190,인천광역시,서구,모다아울렛인천점,인천 서구 북항로32번안길 50-0,쇼핑,쇼핑몰,151879
191,제주특별자치도,제주시,함덕해수욕장,제주 제주시 조함해안로 525-0,자연관광,자연경관(하천/해양),151741
192,서울특별시,강서구,김포국제공항,서울 강서구 하늘길 112-0,기타관광,교통시설,151692
193,경상북도,경주시,첨성대,경북 경주시 첨성로 140-25,역사관광,역사유적지,150985
194,경상북도,구미시,구미역,경북 구미시 구미중앙로 76-0,기타관광,교통시설,150916
195,서울특별시,서초구,헌릉과인릉,서울 서초구 헌인릉길 34-0,역사관광,역사유적지,148922
196,경기도,고양시 일산동구,벨라시타,경기 고양시 일산동구 강송로 33-0,쇼핑,쇼핑몰,147938
197,강원특별자치도,속초시,설악케이블카,강원 속초시 설악산로 1085-0,기타관광,기타관광,147801
198,경기도,수원시 권선구,수원농수산물도매시장,경기 수원시 권선구 세권로 243-0,쇼핑,시장,146624
199,전라남도,순천시,순천역,전남 순천시 팔마로 135-0,기타관광,교통시설,145506
200,경기도,과천시,렛츠런파크서울,경기 과천시 경마공원대로 107-0,레저스포츠,육상레저스포츠,145133
201,충청북도,청주시 흥덕구,현대백화점충청점,충북 청주시 흥덕구 직지대로 308-0,쇼핑,백화점,143086
202,서울특별시,종로구,동대문종합시장,서울 종로구 종로 266-0,쇼핑,시장,142420
203,제주특별자치도,서귀포시,성산일출봉,제주 서귀포시 일출로 284-12,자연관광,자연경관(산),142283
204,경기도,양평군,양평역,경기 양평군 역전길 30-0,기타관광,교통시설,141293
205,서울특별시,강남구,갤러리아백화점명품관EAST,서울 강남구 압구정로 407-0,쇼핑,백화점,140963
206,인천광역시,부평구,삼산농산물도매시장,인천 부평구 영성동로 46-0,쇼핑,시장,140953
207,경기도,과천시,국립과천과학관,경기 과천시 상하벌로 110-0,문화관광,전시시설,139695
208,경기도,남양주시,퇴계원역,경기 남양주시 경춘북로 545-0,기타관광,교통시설,139414
209,경기도,광명시,광명동굴,경기 광명시 가학로85번길 142-0,자연관광,자연생태,139195
210,강원특별자치도,강릉시,주문진수산시장,강원 강릉시 시장1길 4-1,쇼핑,시장,137828
211,서울특별시,강동구,현대백화점천호점,서울 강동구 천호대로 1005-0,쇼핑,백화점,135574
212,경기도,수원시 팔달구,화성행궁,경기 수원시 팔달구 정조로 825-0,역사관광,역사유적지,135104
213,경기도,남양주시,덕소역,경기 남양주시 덕소로 56-0,기타관광,교통시설,134173
214,경기도,안성시,농협경제지주안성팜랜드,경기 안성시 대신두길 28-0,문화관광,테마공원,133863
215,충청남도,공주시,동학사,충남 공주시 동학사1로 462-0,역사관광,종교성지,132043
216,경기도,용인시 처인구,레이크사이드CC,경기 용인시 처인구 능원로 181-0,레저스포츠,육상레저스포츠,131341
217,대구광역시,북구,EXCO서관,대구 북구 엑스코로 10-0,문화관광,전시시설,131300
218,인천광역시,남동구,소래포구,인천 남동구 포구로 2-9,자연관광,자연경관(하천/해양),130172
219,경기도,남양주시,다산현대프리미어캠퍼스몰,경기 남양주시 다산순환로 20-0,쇼핑,쇼핑몰,130070
220,부산광역시,사하구,다대포해수욕장,부산 사하구 몰운대1길 14-0,자연관광,자연경관(하천/해양),129207
221,경기도,파주시,금촌역,경기 파주시 새꽃로 193-0,기타관광,교통시설,129157
222,전라남도,담양군,죽녹원,전남 담양군 죽녹원로 119-0,자연관광,자연공원,129068
223,경기도,양주시,LF스퀘어양주점,경기 양주시 평화로 1593-0,쇼핑,쇼핑몰,128545
224,대구광역시,동구,롯데아울렛이시아폴리스점,대구 동구 팔공로49길 16-0,쇼핑,쇼핑몰,128211
225,인천광역시,남동구,남촌농산물도매시장,인천 남동구 비류대로 763-0,쇼핑,시장,128056
226,충청남도,천안시 서북구,갤러리아백화점센터시티점,충남 천안시 서북구 공원로 227-0,쇼핑,백화점,126859
227,강원특별자치도,강릉시,안목해변,강원 강릉시 창해로14번길 20-1,자연관광,자연경관(하천/해양),126628
228,충청남도,태안군,꽃지해수욕장,충남 태안군 꽃지해안로 400-0,자연관광,자연경관(하천/해양),126580
229,서울특별시,종로구,광장시장,서울 종로구 창경궁로 88-0,쇼핑,시장,126481
230,경기도,화성시,리베라CC,경기 화성시 중리길 183-0,레저스포츠,육상레저스포츠,126160
231,경기도,파주시,평화누리,경기 파주시 임진각로 148-40,문화관광,도시공원,125424
232,부산광역시,강서구,스타필드시티명지,부산 강서구 명지국제6로 168-0,쇼핑,쇼핑몰,125203
233,경상남도,남해군,독일마을,경남 남해군 독일로 92-0,기타관광,기타관광,124941
234,경상북도,포항시 북구,환호공원스페이스워크,경북 포항시 북구,레저스포츠,기타레저스포츠,124918
235,경기도,고양시 일산동구,뉴코아아울렛일산점,경기 고양시 일산동구 중앙로 1206-0,쇼핑,대형마트,124725
236,부산광역시,기장군,기장시장,부산 기장군 읍내로104번길 16-0,쇼핑,시장,124512
237,서울특별시,송파구,잠실야구장,서울 송파구 올림픽로 25-0,문화관광,레저스포츠시설,124009
238,부산광역시,동래구,롯데백화점동래점,부산 동래구 중앙대로 1393-0,쇼핑,백화점,123848
239,서울특별시,송파구,현대시티몰가든파이브점,서울 송파구 충민로 66-0,쇼핑,쇼핑몰,123290
240,광주광역시,광산구,광주공항,광주 광산구 상무대로 420-25,기타관광,교통시설,122923
241,경기도,고양시 일산서구,원마운트,경기 고양시 일산서구 한류월드로 300-0,쇼핑,쇼핑몰,122428
242,경기도,가평군,아침고요수목원,경기 가평군 수목원로 432-0,문화관광,테마공원,122126
243,경상남도,창원시 의창구,창원중앙역,경남 창원시 의창구 상남로 381-0,기타관광,교통시설,121894
244,경상남도,창원시 성산구,롯데백화점창원점,경남 창원시 성산구 중앙대로 124-0,쇼핑,백화점,120377
245,경기도,성남시 분당구,아브뉴프랑판교,경기 성남시 분당구 동판교로177번길 25-0,쇼핑,쇼핑몰,120228
246,서울특별시,금천구,현대시티아울렛가산점,서울 금천구 디지털로10길 9-0,쇼핑,쇼핑몰,120068
247,서울특별시,강남구,SETEC,서울 강남구 남부순환로 3104-0,문화관광,전시시설,120027
248,부산광역시,해운대구,반여농산물도매시장,부산 해운대구 수영강변대로 626-0,쇼핑,시장,119675
249,부산광역시,중구,자갈치시장,부산 중구 자갈치해안로 52-0,쇼핑,시장,118973
250,충청북도,단양군,단양구경시장,충북 단양군 도전5길 31-0,쇼핑,시장,118352
251,대전광역시,중구,서대전역,대전 중구 오류로 23-0,기타관광,교통시설,118351
252,경상북도,경주시,보문관광단지,경북 경주시 보문로 424-33,문화관광,복합관광시설,117868
253,강원특별자치도,강릉시,강릉역,강원 강릉시 용지로 176-0,기타관광,교통시설,117851
254,경기도,남양주시,마석역,경기 남양주시 마석중앙로 107-0,기타관광,교통시설,117845
255,경기도,성남시 분당구,롯데백화점분당점,경기 성남시 분당구 황새울로200번길 45-0,쇼핑,백화점,117762
256,경기도,용인시 처인구,용인공용버스터미널,경기 용인시 처인구 중부대로 1486-0,기타관광,교통시설,117468
257,서울특별시,마포구,망원시장,서울 마포구 포은로8길 14-0,쇼핑,시장,117019
258,광주광역시,광산구,광주송정역,광주 광산구 상무대로 201-0,기타관광,교통시설,116750
259,경기도,이천시,비에이비스타CC,경기 이천시 어농로 272-0,레저스포츠,육상레저스포츠,116461
260,경기도,수원시 영통구,아브뉴프랑광교,경기 수원시 영통구 센트럴타운로 85-0,쇼핑,쇼핑몰,116277
261,경상남도,김해시,신세계백화점김해점,경남 김해시 김해대로 2232-0,쇼핑,백화점,116065
262,인천광역시,중구,클럽72CC바다코스,인천 중구 공항동로 392-0,레저스포츠,육상레저스포츠,115763
263,부산광역시,영도구,태종대,부산 영도구 전망로 24-0,역사관광,역사유적지,115235
264,서울특별시,마포구,망원한강공원,서울 마포구 마포나루길 467-0,문화관광,도시공원,115158
